
Epoch [1/100], Main Loss: 0.3022, Auxiliary Loss: 3.5292, Grad Norm: 1.1843
Epoch [57/100], Main Loss: 0.2305, Auxiliary Loss: 1.5247, Grad Norm: 4.2262
Epoch [58/100], Main Loss: 0.2308, Auxiliary Loss: 1.5109, Grad Norm: 4.3066
Epoch [59/100], Main Loss: 0.2335, Auxiliary Loss: 1.4914, Grad Norm: 4.3810
Epoch [60/100], Main Loss: 0.2344, Auxiliary Loss: 1.4976, Grad Norm: 4.4072
Epoch [61/100], Main Loss: 0.2346, Auxiliary Loss: 1.4866, Grad Norm: 4.4028
Epoch [62/100], Main Loss: 0.2356, Auxiliary Loss: 1.4749, Grad Norm: 4.4598
Epoch [63/100], Main Loss: 0.2288, Auxiliary Loss: 1.4895, Grad Norm: 4.3022
Epoch [64/100], Main Loss: 0.2329, Auxiliary Loss: 1.4397, Grad Norm: 4.4833
Epoch [65/100], Main Loss: 0.2316, Auxiliary Loss: 1.4440, Grad Norm: 4.4468
Epoch [66/100], Main Loss: 0.2318, Auxiliary Loss: 1.4340, Grad Norm: 4.5560
Epoch [67/100], Main Loss: 0.2325, Auxiliary Loss: 1.4391, Grad Norm: 4.5237
Epoch [68/100], Main Loss: 0.2361, Auxiliary Loss: 1.4060, Grad Norm: 4.6469
Epoch [69/100], Main Loss: 0.2325, Auxiliary Loss: 1.4277, Grad Norm: 4.4899
Epoch [70/100], Main Loss: 0.2366, Auxiliary Loss: 1.3999, Grad Norm: 4.5913
Epoch [71/100], Main Loss: 0.2335, Auxiliary Loss: 1.3970, Grad Norm: 4.6291
Epoch [72/100], Main Loss: 0.2357, Auxiliary Loss: 1.3999, Grad Norm: 4.6158
Epoch [73/100], Main Loss: 0.2359, Auxiliary Loss: 1.3827, Grad Norm: 4.6688
Epoch [74/100], Main Loss: 0.2351, Auxiliary Loss: 1.3696, Grad Norm: 4.6625
Epoch [75/100], Main Loss: 0.2356, Auxiliary Loss: 1.3709, Grad Norm: 4.7645
Epoch [76/100], Main Loss: 0.2335, Auxiliary Loss: 1.3735, Grad Norm: 4.6369
Epoch [77/100], Main Loss: 0.2334, Auxiliary Loss: 1.3727, Grad Norm: 4.6931
Epoch [78/100], Main Loss: 0.2324, Auxiliary Loss: 1.3648, Grad Norm: 4.6904
